county_fips	cbsa_code	cbsa_title	area_type
01001	33860	Montgomery, AL	Metropolitan Statistical Area
01003	19300	Daphne-Fairhope-Foley, AL	Metropolitan Statistical Area
01005	21640	Eufaula, AL-GA	Micropolitan Statistical Area
01007	13820	Birmingham, AL	Metropolitan Statistical Area
01009	13820	Birmingham, AL	Metropolitan Statistical Area
01015	11500	Anniston-Oxford, AL	Metropolitan Statistical Area
01017	29300	LaGrange, GA-AL	Micropolitan Statistical Area
01021	13820	Birmingham, AL	Metropolitan Statistical Area
01031	21460	Enterprise, AL	Micropolitan Statistical Area
01033	22520	Florence-Muscle Shoals, AL	Metropolitan Statistical Area
01037	45180	Talladega-Sylacauga, AL	Micropolitan Statistical Area
01043	18980	Cullman, AL	Micropolitan Statistical Area
01045	37120	Ozark, AL	Micropolitan Statistical Area
01047	42820	Selma, AL	Micropolitan Statistical Area
01049	22840	Fort Payne, AL	Micropolitan Statistical Area
01051	33860	Montgomery, AL	Metropolitan Statistical Area
01055	23460	Gadsden, AL	Metropolitan Statistical Area
01059	40770	Russellville, AL	Micropolitan Statistical Area
01061	20020	Dothan, AL	Metropolitan Statistical Area
01063	46220	Tuscaloosa, AL	Metropolitan Statistical Area
01065	46220	Tuscaloosa, AL	Metropolitan Statistical Area
01067	20020	Dothan, AL	Metropolitan Statistical Area
01069	20020	Dothan, AL	Metropolitan Statistical Area
01071	42460	Scottsboro, AL	Micropolitan Statistical Area
01073	13820	Birmingham, AL	Metropolitan Statistical Area
01077	22520	Florence-Muscle Shoals, AL	Metropolitan Statistical Area
01079	19460	Decatur, AL	Metropolitan Statistical Area
01081	12220	Auburn-Opelika, AL	Metropolitan Statistical Area
01083	26620	Huntsville, AL	Metropolitan Statistical Area
01085	33860	Montgomery, AL	Metropolitan Statistical Area
01087	12220	Auburn-Opelika, AL	Metropolitan Statistical Area
01089	26620	Huntsville, AL	Metropolitan Statistical Area
01095	10700	Albertville, AL	Micropolitan Statistical Area
