place_key	display_name	state_usps	county_fips	lat	lng	place_type	county_confidence
adak|ak	Adak	AK	02016	51.909889	-176.598067	city	zip_majority
akhiok|ak	Akhiok	AK	02150	56.948329	-154.215306	city	census_first_listed
akiachak|ak	Akiachak	AK	02050	60.920991	-161.402199	CDP	zip_majority
akiak|ak	Akiak	AK	02050	60.912838	-161.216225	city	zip_majority
akutan|ak	Akutan	AK	02013	54.139979	-165.763026	city	zip_majority
alakanuk|ak	Alakanuk	AK	02158	62.710997	-164.649719	city	zip_majority
alatna|ak	Alatna	AK	02290	66.563353	-152.837612	CDP	zip_majority
alcan border|ak	Alcan Border	AK	02240	62.703078	-141.193584	CDP	census_first_listed
aleknagik|ak	Aleknagik	AK	02070	59.288961	-158.664343	city	zip_majority
aleneva|ak	Aleneva	AK	02150	58.059052	-152.909015	CDP	zip_majority
allakaket|ak	Allakaket	AK	02290	66.541878	-152.583009	city	census_first_listed
ambler|ak	Ambler	AK	02188	67.080903	-157.90558	city	zip_majority
anaktuvuk pass|ak	Anaktuvuk Pass	AK	02185	68.149752	-151.697066	city	zip_majority
anchor point|ak	Anchor Point	AK	02122	59.747364	-151.695697	CDP	zip_majority
anchorage|ak	Anchorage	AK	02020	61.17425	-149.284329	municipality	zip_majority
anderson|ak	Anderson	AK	02068	64.308281	-149.163187	city	zip_majority
angoon|ak	Angoon	AK	02105	57.441257	-134.478357	city	zip_majority
aniak|ak	Aniak	AK	02050	61.57882	-159.547402	city	census_first_listed
anvik|ak	Anvik	AK	02290	62.630919	-160.215974	city	zip_majority
arctic village|ak	Arctic Village	AK	02290	68.165277	-145.401351	CDP	zip_majority
atka|ak	Atka	AK	02016	52.211547	-174.213454	city	zip_majority
atmautluak|ak	Atmautluak	AK	02050	60.862755	-162.280302	CDP	census_first_listed
atqasuk|ak	Atqasuk	AK	02185	70.480786	-157.325459	city	zip_majority
attu station|ak	Attu Station	AK	02016	52.880248	+173.256076	CDP	census_first_listed
badger|ak	Badger	AK	02090	64.800081	-147.385129	CDP	zip_majority
bear creek|ak	Bear Creek	AK	02122	60.20806	-149.369779	CDP	zip_majority
beaver|ak	Beaver	AK	02290	66.384745	-147.287756	CDP	zip_majority
beluga|ak	Beluga	AK	02122	61.190862	-151.184237	CDP	zip_majority
bethel|ak	Bethel	AK	02050	60.793903	-161.795863	city	zip_majority
bettles|ak	Bettles	AK	02290	66.90686	-151.53801	city	census_first_listed
big delta|ak	Big Delta	AK	02240	64.157047	-145.740874	CDP	census_first_listed
big lake|ak	Big Lake	AK	02170	61.515547	-149.975482	CDP	zip_majority
birch creek|ak	Birch Creek	AK	02290	66.268333	-145.876445	CDP	census_first_listed
brevig mission|ak	Brevig Mission	AK	02180	65.34313	-166.509537	city	zip_majority
buckland|ak	Buckland	AK	02188	65.977236	-161.138619	city	zip_majority
buffalo soapstone|ak	Buffalo Soapstone	AK	02170	61.684439	-149.121172	CDP	census_first_listed
butte|ak	Butte	AK	02170	61.533915	-148.987811	CDP	census_first_listed
cantwell|ak	Cantwell	AK	02170	63.411396	-148.749621	CDP	zip_majority
central|ak	Central	AK	02290	65.508601	-144.61994	CDP	zip_majority
chalkyitsik|ak	Chalkyitsik	AK	02290	66.646806	-143.788344	CDP	zip_majority
chase|ak	Chase	AK	02170	62.418236	-149.936172	CDP	zip_majority
chefornak|ak	Chefornak	AK	02050	60.151941	-164.252067	city	zip_majority
chena ridge|ak	Chena Ridge	AK	02090	64.794305	-148.032883	CDP	census_first_listed
chenega|ak	Chenega	AK	02063	60.091953	-147.994698	CDP	census_first_listed
chevak|ak	Chevak	AK	02158	61.52956	-165.594126	city	zip_majority
chickaloon|ak	Chickaloon	AK	02170	61.815283	-148.291957	CDP	census_first_listed
chicken|ak	Chicken	AK	02240	64.087691	-141.828278	CDP	zip_majority
chignik lagoon|ak	Chignik Lagoon	AK	02164	56.304267	-158.500259	CDP	zip_majority
chignik lake|ak	Chignik Lake	AK	02164	56.273221	-158.793376	CDP	zip_majority
chignik|ak	Chignik	AK	02164	56.29518	-158.391784	city	zip_majority
chiniak|ak	Chiniak	AK	02150	57.575497	-152.279033	CDP	census_first_listed
chisana|ak	Chisana	AK	02066	62.110041	-142.050549	CDP	census_first_listed
chistochina|ak	Chistochina	AK	02066	62.596444	-144.941045	CDP	zip_majority
chitina|ak	Chitina	AK	02066	61.553028	-144.175116	CDP	census_first_listed
chuathbaluk|ak	Chuathbaluk	AK	02050	61.573919	-159.246921	city	census_first_listed
circle|ak	Circle	AK	02290	65.790425	-144.196008	CDP	zip_majority
clam gulch|ak	Clam Gulch	AK	02122	60.208887	-151.404203	CDP	census_first_listed
clark s point|ak	Clark's Point	AK	02070	58.832992	-158.527347	city	zip_majority
coffman cove|ak	Coffman Cove	AK	02198	56.001661	-132.841966	city	zip_majority
cohoe|ak	Cohoe	AK	02122	60.266971	-151.298172	CDP	zip_majority
cold bay|ak	Cold Bay	AK	02013	55.215515	-162.775546	city	zip_majority
coldfoot|ak	Coldfoot	AK	02290	67.260741	-150.069894	CDP	census_first_listed
college|ak	College	AK	02090	64.86729	-147.819453	CDP	zip_majority
cooper landing|ak	Cooper Landing	AK	02122	60.494579	-149.843945	CDP	zip_majority
copper center|ak	Copper Center	AK	02066	62.001096	-145.363956	CDP	census_first_listed
cordova|ak	Cordova	AK	02063	60.530046	-145.641872	city	zip_majority
covenant life|ak	Covenant Life	AK	02100	59.397505	-136.123002	CDP	census_first_listed
craig|ak	Craig	AK	02198	55.488746	-133.111568	city	census_first_listed
crooked creek|ak	Crooked Creek	AK	02050	61.796692	-158.080942	CDP	zip_majority
crown point|ak	Crown Point	AK	02122	60.426679	-149.35298	CDP	census_first_listed
deering|ak	Deering	AK	02188	66.069488	-162.764572	city	zip_majority
delta junction|ak	Delta Junction	AK	02240	64.057347	-145.699997	city	census_first_listed
deltana|ak	Deltana	AK	02240	63.78934	-145.351625	CDP	zip_majority
denali park|ak	Denali Park	AK	02068	63.573017	-148.673705	CDP	zip_majority
diamond ridge|ak	Diamond Ridge	AK	02122	59.702361	-151.554623	CDP	census_first_listed
dillingham|ak	Dillingham	AK	02070	59.060467	-158.532251	city	zip_majority
diomede|ak	Diomede	AK	02180	65.753924	-168.922577	city	census_first_listed
dot lake village|ak	Dot Lake Village	AK	02240	63.662593	-144.016171	CDP	census_first_listed
dot lake|ak	Dot Lake	AK	02240	63.587223	-144.292361	CDP	census_first_listed
dry creek|ak	Dry Creek	AK	02240	63.626638	-144.639194	CDP	census_first_listed
eagle village|ak	Eagle Village	AK	02240	64.743389	-141.113834	CDP	zip_majority
eagle|ak	Eagle	AK	02240	64.781256	-141.197829	city	census_first_listed
eareckson station|ak	Eareckson Station	AK	02016	52.72106	+174.107149	CDP	census_first_listed
edna bay|ak	Edna Bay	AK	02198	55.967618	-133.692253	city	census_first_listed
eek|ak	Eek	AK	02050	60.216279	-162.042513	city	zip_majority
egegik|ak	Egegik	AK	02164	58.205148	-157.521978	city	zip_majority
eielson afb|ak	Eielson AFB	AK	02090	64.673393	-147.059673	CDP	zip_majority
ekwok|ak	Ekwok	AK	02070	59.3458	-157.487021	city	zip_majority
elfin cove|ak	Elfin Cove	AK	02105	58.087681	-136.288309	CDP	zip_majority
elim|ak	Elim	AK	02180	64.618373	-162.276244	city	zip_majority
emmonak|ak	Emmonak	AK	02158	62.77559	-164.50929	city	zip_majority
ester|ak	Ester	AK	02090	64.879056	-148.041153	CDP	zip_majority
eureka roadhouse|ak	Eureka Roadhouse	AK	02170	61.958507	-147.155104	CDP	census_first_listed
evansville|ak	Evansville	AK	02290	66.932933	-151.37006	CDP	zip_majority
excursion inlet|ak	Excursion Inlet	AK	02100	58.415144	-135.345462	CDP	zip_majority
fairbanks|ak	Fairbanks	AK	02090	64.836531	-147.651745	city	zip_majority
false pass|ak	False Pass	AK	02013	54.872441	-163.334268	city	zip_majority
farm loop|ak	Farm Loop	AK	02170	61.635115	-149.155223	CDP	census_first_listed
farmers loop|ak	Farmers Loop	AK	02090	64.908228	-147.698608	CDP	census_first_listed
ferry|ak	Ferry	AK	02068	64.04962	-148.920602	CDP	census_first_listed
fishhook|ak	Fishhook	AK	02170	61.731248	-149.283642	CDP	census_first_listed
flat|ak	Flat	AK	02290	62.441359	-158.04055	CDP	census_first_listed
fort greely|ak	Fort Greely	AK	02240	63.967834	-145.714882	CDP	census_first_listed
fort yukon|ak	Fort Yukon	AK	02290	66.582533	-145.247437	city	zip_majority
four mile road|ak	Four Mile Road	AK	02290	64.605595	-149.115005	CDP	census_first_listed
fox river|ak	Fox River	AK	02122	59.892246	-151.012379	CDP	zip_majority
fox|ak	Fox	AK	02090	64.974859	-147.609007	CDP	census_first_listed
fritz creek|ak	Fritz Creek	AK	02122	59.746867	-151.288605	CDP	census_first_listed
funny river|ak	Funny River	AK	02122	60.484313	-150.788736	CDP	census_first_listed
gakona|ak	Gakona	AK	02066	62.368038	-145.305188	CDP	census_first_listed
galena|ak	Galena	AK	02290	64.741422	-156.873394	city	zip_majority
gambell|ak	Gambell	AK	02180	63.775756	-171.723441	city	zip_majority
game creek|ak	Game Creek	AK	02105	58.050105	-135.512547	CDP	census_first_listed
gateway|ak	Gateway	AK	02170	61.566855	-149.222679	CDP	census_first_listed
glacier view|ak	Glacier View	AK	02170	61.848035	-147.772591	CDP	zip_majority
glennallen|ak	Glennallen	AK	02066	62.153307	-145.840752	CDP	census_first_listed
goldstream|ak	Goldstream	AK	02090	64.942151	-148.02732	CDP	zip_majority
golovin|ak	Golovin	AK	02180	64.560222	-163.007163	city	census_first_listed
goodnews bay|ak	Goodnews Bay	AK	02050	59.127701	-161.564432	city	zip_majority
grayling|ak	Grayling	AK	02290	62.89605	-160.112977	city	zip_majority
gulkana|ak	Gulkana	AK	02066	62.215434	-145.444965	CDP	census_first_listed
gustavus|ak	Gustavus	AK	02105	58.434657	-135.728152	city	zip_majority
haines|ak	Haines	AK	02100	59.260434	-135.472169	CDP	census_first_listed
halibut cove|ak	Halibut Cove	AK	02122	59.569581	-151.223764	CDP	census_first_listed
happy valley|ak	Happy Valley	AK	02122	59.898514	-151.528868	CDP	census_first_listed
harding birch lakes|ak	Harding-Birch Lakes	AK	02090	64.381305	-146.530599	CDP	zip_majority
healy lake|ak	Healy Lake	AK	02240	64.009705	-144.681574	CDP	zip_majority
healy|ak	Healy	AK	02068	63.959632	-148.970842	CDP	zip_majority
hobart bay|ak	Hobart Bay	AK	02195	57.417759	-133.306569	CDP	census_first_listed
hollis|ak	Hollis	AK	02198	55.515474	-132.701922	CDP	zip_majority
holy cross|ak	Holy Cross	AK	02290	62.185111	-159.858814	city	zip_majority
homer|ak	Homer	AK	02122	59.647503	-151.513095	city	census_first_listed
hoonah|ak	Hoonah	AK	02105	58.12201	-135.431474	city	census_first_listed
hooper bay|ak	Hooper Bay	AK	02158	61.509167	-166.111471	city	zip_majority
hope|ak	Hope	AK	02122	60.886124	-149.632991	CDP	zip_majority
houston|ak	Houston	AK	02170	61.615303	-149.80061	city	zip_majority
hughes|ak	Hughes	AK	02290	66.045217	-154.237627	city	zip_majority
huslia|ak	Huslia	AK	02290	65.696198	-156.338336	city	zip_majority
hydaburg|ak	Hydaburg	AK	02198	55.205842	-132.820438	city	zip_majority
hyder|ak	Hyder	AK	02198	55.98153	-130.038166	CDP	zip_majority
igiugig|ak	Igiugig	AK	02164	59.300989	-155.863275	CDP	census_first_listed
iliamna|ak	Iliamna	AK	02164	59.778342	-154.883752	CDP	zip_majority
ivanof bay|ak	Ivanof Bay	AK	02164	55.918199	-159.493298	CDP	zip_majority
juneau city and|ak	Juneau city and	AK	02110	58.37291	-134.178445	borough	zip_majority
kachemak|ak	Kachemak	AK	02122	59.674535	-151.436347	city	census_first_listed
kake|ak	Kake	AK	02198	56.97532	-133.903663	city	zip_majority
kaktovik|ak	Kaktovik	AK	02185	70.121017	-143.630251	city	zip_majority
kalifornsky|ak	Kalifornsky	AK	02122	60.453399	-151.220302	CDP	zip_majority
kaltag|ak	Kaltag	AK	02290	64.314143	-158.778761	city	zip_majority
karluk|ak	Karluk	AK	02150	57.590981	-154.363413	CDP	zip_majority
kasaan|ak	Kasaan	AK	02198	55.561147	-132.406834	city	census_first_listed
kasigluk|ak	Kasigluk	AK	02050	60.863834	-162.536564	CDP	zip_majority
kasilof|ak	Kasilof	AK	02122	60.319466	-151.232794	CDP	census_first_listed
kenai|ak	Kenai	AK	02122	60.56224	-151.20806	city	census_first_listed
kenny lake|ak	Kenny Lake	AK	02066	61.621616	-144.821315	CDP	zip_majority
ketchikan|ak	Ketchikan	AK	02130	55.357145	-131.674552	city	zip_majority
kiana|ak	Kiana	AK	02188	66.972586	-160.434365	city	zip_majority
king cove|ak	King Cove	AK	02013	55.084993	-162.316806	city	zip_majority
king salmon|ak	King Salmon	AK	02164	58.72572	-156.535989	CDP	zip_majority
kipnuk|ak	Kipnuk	AK	02050	59.93396	-164.092783	CDP	zip_majority
kivalina|ak	Kivalina	AK	02188	67.735978	-164.511763	city	zip_majority
klawock|ak	Klawock	AK	02198	55.556425	-133.08613	city	zip_majority
klukwan|ak	Klukwan	AK	02105	59.401834	-135.882427	CDP	census_first_listed
knik fairview|ak	Knik-Fairview	AK	02170	61.507645	-149.622601	CDP	census_first_listed
knik river|ak	Knik River	AK	02170	61.461903	-149.007489	CDP	zip_majority
kobuk|ak	Kobuk	AK	02188	66.917007	-156.914456	city	zip_majority
kodiak station|ak	Kodiak Station	AK	02150	57.76795	-152.595907	CDP	census_first_listed
kodiak|ak	Kodiak	AK	02150	57.791192	-152.419712	city	census_first_listed
kokhanok|ak	Kokhanok	AK	02164	59.412109	-154.746007	CDP	census_first_listed
koliganek|ak	Koliganek	AK	02070	59.695234	-157.219902	CDP	census_first_listed
kongiganak|ak	Kongiganak	AK	02050	59.991557	-162.844577	CDP	census_first_listed
kotlik|ak	Kotlik	AK	02158	63.02919	-163.536654	city	zip_majority
kotzebue|ak	Kotzebue	AK	02188	66.886842	-162.49173	city	census_first_listed
koyukuk|ak	Koyukuk	AK	02290	64.902073	-157.693531	city	zip_majority
koyuk|ak	Koyuk	AK	02180	64.939944	-161.120908	city	zip_majority
kupreanof|ak	Kupreanof	AK	02195	56.821295	-132.972152	city	census_first_listed
kwethluk|ak	Kwethluk	AK	02050	60.79333	-161.430966	city	zip_majority
kwigillingok|ak	Kwigillingok	AK	02050	59.877575	-163.177317	CDP	zip_majority
lake louise|ak	Lake Louise	AK	02170	62.30162	-146.540163	CDP	census_first_listed
lake minchumina|ak	Lake Minchumina	AK	02290	63.789761	-152.462314	CDP	zip_majority
larsen bay|ak	Larsen Bay	AK	02150	57.529893	-154.001155	city	zip_majority
lazy mountain|ak	Lazy Mountain	AK	02170	61.658227	-148.925582	CDP	census_first_listed
levelock|ak	Levelock	AK	02164	59.068246	-156.901021	CDP	zip_majority
lime village|ak	Lime Village	AK	02050	61.330449	-155.238066	CDP	zip_majority
livengood|ak	Livengood	AK	02290	65.481785	-148.416484	CDP	zip_majority
loring|ak	Loring	AK	02130	55.606677	-131.639977	CDP	census_first_listed
lowell point|ak	Lowell Point	AK	02122	60.076063	-149.493807	CDP	census_first_listed
lower kalskag|ak	Lower Kalskag	AK	02050	61.514721	-160.358532	city	zip_majority
lutak|ak	Lutak	AK	02100	59.412212	-135.589046	CDP	zip_majority
manley hot springs|ak	Manley Hot Springs	AK	02290	65.018747	-150.645255	CDP	zip_majority
manokotak|ak	Manokotak	AK	02070	58.727293	-158.906445	city	zip_majority
marshall|ak	Marshall	AK	02158	61.871555	-162.06087	city	zip_majority
mccarthy|ak	McCarthy	AK	02066	61.453957	-142.864693	CDP	zip_majority
mcgrath|ak	McGrath	AK	02290	62.940607	-155.566409	city	zip_majority
meadow lakes|ak	Meadow Lakes	AK	02170	61.637987	-149.609611	CDP	census_first_listed
mekoryuk|ak	Mekoryuk	AK	02050	60.370272	-166.267711	city	zip_majority
mendeltna|ak	Mendeltna	AK	02066	62.146098	-146.758031	CDP	zip_majority
mentasta lake|ak	Mentasta Lake	AK	02240	63.011677	-143.561486	CDP	zip_majority
mertarvik|ak	Mertarvik	AK	02050	60.810993	-164.49911	CDP	census_first_listed
metlakatla|ak	Metlakatla	AK	02198	55.114608	-131.555585	CDP	zip_majority
mill bay|ak	Mill Bay	AK	02150	57.815501	-152.367542	CDP	census_first_listed
minto|ak	Minto	AK	02290	65.088678	-149.592112	CDP	zip_majority
moose creek|ak	Moose Creek	AK	02090	64.716349	-147.166627	CDP	census_first_listed
moose pass|ak	Moose Pass	AK	02122	60.505936	-149.468361	CDP	zip_majority
mosquito lake|ak	Mosquito Lake	AK	02100	59.475103	-136.199106	CDP	census_first_listed
mountain village|ak	Mountain Village	AK	02158	62.091906	-163.695257	city	zip_majority
mud bay|ak	Mud Bay	AK	02100	59.151183	-135.356493	CDP	census_first_listed
nabesna|ak	Nabesna	AK	02066	62.496548	-143.00743	CDP	census_first_listed
naknek|ak	Naknek	AK	02060	58.788156	-156.872821	CDP	zip_majority
nanwalek|ak	Nanwalek	AK	02122	59.333848	-151.929558	CDP	census_first_listed
napakiak|ak	Napakiak	AK	02050	60.690587	-161.986627	city	zip_majority
napaskiak|ak	Napaskiak	AK	02050	60.703217	-161.750817	city	census_first_listed
naukati bay|ak	Naukati Bay	AK	02198	55.874121	-133.195015	CDP	census_first_listed
nelchina|ak	Nelchina	AK	02066	62.010403	-146.829938	CDP	census_first_listed
nelson lagoon|ak	Nelson Lagoon	AK	02013	55.836649	-161.635799	CDP	census_first_listed
nenana|ak	Nenana	AK	02290	64.536054	-149.083629	city	census_first_listed
new stuyahok|ak	New Stuyahok	AK	02070	59.49428	-157.287243	city	zip_majority
newhalen|ak	Newhalen	AK	02164	59.737057	-154.902414	city	census_first_listed
newtok|ak	Newtok	AK	02050	60.935069	-164.645682	CDP	census_first_listed
nightmute|ak	Nightmute	AK	02050	60.462401	-164.83464	city	zip_majority
nikiski|ak	Nikiski	AK	02122	60.725015	-151.225268	CDP	zip_majority
nikolaevsk|ak	Nikolaevsk	AK	02122	59.829553	-151.596382	CDP	census_first_listed
nikolai|ak	Nikolai	AK	02290	63.007747	-154.375082	city	zip_majority
nikolski|ak	Nikolski	AK	02016	53.007863	-168.718502	CDP	zip_majority
ninilchik|ak	Ninilchik	AK	02122	60.061292	-151.404185	CDP	zip_majority
noatak|ak	Noatak	AK	02188	67.589149	-163.011826	CDP	zip_majority
nome|ak	Nome	AK	02180	64.505741	-165.415287	city	zip_majority
nondalton|ak	Nondalton	AK	02164	59.975246	-154.866046	city	zip_majority
noorvik|ak	Noorvik	AK	02188	66.828034	-161.043899	city	zip_majority
north lakes|ak	North Lakes	AK	02170	61.618378	-149.310724	CDP	census_first_listed
north pole|ak	North Pole	AK	02090	64.752728	-147.362655	city	census_first_listed
northway|ak	Northway	AK	02240	63.000776	-141.541256	CDP	zip_majority
nuiqsut|ak	Nuiqsut	AK	02185	70.21258	-151.025076	city	zip_majority
nulato|ak	Nulato	AK	02290	64.691283	-158.27535	city	zip_majority
nunam iqua|ak	Nunam Iqua	AK	02158	62.506887	-164.900554	city	zip_majority
nunapitchuk|ak	Nunapitchuk	AK	02050	60.879272	-162.462306	city	zip_majority
old harbor|ak	Old Harbor	AK	02150	57.218798	-153.329674	city	zip_majority
oscarville|ak	Oscarville	AK	02050	60.732087	-161.77692	CDP	census_first_listed
ouzinkie|ak	Ouzinkie	AK	02150	57.92466	-152.462388	city	zip_majority
palmer|ak	Palmer	AK	02170	61.597166	-149.114683	city	census_first_listed
paxson|ak	Paxson	AK	02066	62.975706	-145.757621	CDP	census_first_listed
pedro bay|ak	Pedro Bay	AK	02164	59.789215	-154.125718	CDP	zip_majority
pelican|ak	Pelican	AK	02105	57.959229	-136.215066	city	zip_majority
perryville|ak	Perryville	AK	02164	55.934456	-159.155754	CDP	zip_majority
petersburg|ak	Petersburg	AK	02195	56.756918	-132.874938	CDP	zip_majority
petersville|ak	Petersville	AK	02170	62.453484	-150.884124	CDP	zip_majority
pilot point|ak	Pilot Point	AK	02164	57.541137	-157.722807	city	census_first_listed
pilot station|ak	Pilot Station	AK	02158	61.948167	-162.872648	city	zip_majority
pitkas point|ak	Pitkas Point	AK	02158	62.037403	-163.268128	CDP	census_first_listed
platinum|ak	Platinum	AK	02050	58.952583	-161.747032	city	zip_majority
pleasant valley|ak	Pleasant Valley	AK	02090	64.885468	-146.89855	CDP	census_first_listed
point baker|ak	Point Baker	AK	02198	56.348132	-133.616794	CDP	census_first_listed
point hope|ak	Point Hope	AK	02185	68.344155	-166.680386	city	zip_majority
point lay|ak	Point Lay	AK	02185	69.737127	-162.835044	CDP	zip_majority
point mackenzie|ak	Point MacKenzie	AK	02170	61.3427	-150.048525	CDP	zip_majority
point possession|ak	Point Possession	AK	02122	60.923081	-150.688844	CDP	census_first_listed
pope vannoy landing|ak	Pope-Vannoy Landing	AK	02164	59.570602	-154.447236	CDP	census_first_listed
port alexander|ak	Port Alexander	AK	02198	56.237593	-134.65275	city	zip_majority
port alsworth|ak	Port Alsworth	AK	02164	60.15673	-154.33961	CDP	zip_majority
port clarence|ak	Port Clarence	AK	02180	65.109221	-166.764488	CDP	census_first_listed
port graham|ak	Port Graham	AK	02122	59.339803	-151.846498	CDP	census_first_listed
port heiden|ak	Port Heiden	AK	02164	56.965241	-158.586416	city	zip_majority
port lions|ak	Port Lions	AK	02150	57.867012	-152.856248	city	zip_majority
port protection|ak	Port Protection	AK	02198	56.331881	-133.60642	CDP	zip_majority
portage creek|ak	Portage Creek	AK	02070	58.90542	-157.669817	CDP	census_first_listed
primrose|ak	Primrose	AK	02122	60.341624	-149.296448	CDP	census_first_listed
prudhoe bay|ak	Prudhoe Bay	AK	02185	70.365858	-148.749804	CDP	zip_majority
quinhagak|ak	Quinhagak	AK	02050	59.751279	-161.897243	city	zip_majority
rampart|ak	Rampart	AK	02290	65.404915	-149.921015	CDP	zip_majority
red devil|ak	Red Devil	AK	02050	61.757421	-157.358548	CDP	zip_majority
red dog mine|ak	Red Dog Mine	AK	02188	68.046903	-162.872123	CDP	zip_majority
ridgeway|ak	Ridgeway	AK	02122	60.530833	-151.052101	CDP	census_first_listed
ruby|ak	Ruby	AK	02290	64.72329	-155.50054	city	zip_majority
russian mission|ak	Russian Mission	AK	02158	61.785171	-161.367297	city	zip_majority
salamatof|ak	Salamatof	AK	02122	60.604229	-151.311311	CDP	census_first_listed
salcha|ak	Salcha	AK	02090	64.534103	-146.88362	CDP	census_first_listed
sand point|ak	Sand Point	AK	02013	55.31347	-160.484344	city	zip_majority
savoonga|ak	Savoonga	AK	02180	63.679706	-170.483324	city	zip_majority
saxman|ak	Saxman	AK	02130	55.323145	-131.589165	city	census_first_listed
scammon bay|ak	Scammon Bay	AK	02158	61.841929	-165.583279	city	zip_majority
selawik|ak	Selawik	AK	02188	66.602596	-159.998857	city	zip_majority
seldovia village|ak	Seldovia Village	AK	02122	59.46127	-151.588755	CDP	zip_majority
seldovia|ak	Seldovia	AK	02122	59.43948	-151.710387	city	census_first_listed
seward|ak	Seward	AK	02122	60.124786	-149.391581	city	census_first_listed
shageluk|ak	Shageluk	AK	02290	62.676038	-159.561841	city	zip_majority
shaktoolik|ak	Shaktoolik	AK	02180	64.356255	-161.19622	city	zip_majority
shishmaref|ak	Shishmaref	AK	02180	66.232848	-166.125642	city	zip_majority
shungnak|ak	Shungnak	AK	02188	66.885093	-157.174634	city	zip_majority
silver springs|ak	Silver Springs	AK	02066	62.019311	-145.358311	CDP	census_first_listed
sitka city and|ak	Sitka city and	AK	02220	57.193204	-135.367396	borough	zip_majority
skagway|ak	Skagway	AK	02230	59.464464	-135.275743	CDP	zip_majority
skwentna|ak	Skwentna	AK	02170	61.888689	-151.199994	CDP	zip_majority
slana|ak	Slana	AK	02066	62.603573	-143.455303	CDP	census_first_listed
sleetmute|ak	Sleetmute	AK	02050	61.654462	-157.10249	CDP	zip_majority
soldotna|ak	Soldotna	AK	02122	60.485318	-151.069014	city	census_first_listed
south lakes|ak	South Lakes	AK	02170	61.587561	-149.315544	CDP	census_first_listed
south naknek|ak	South Naknek	AK	02060	58.662786	-156.984077	CDP	zip_majority
south van horn|ak	South Van Horn	AK	02090	64.809726	-147.787779	CDP	census_first_listed
st george|ak	St. George	AK	02016	56.571044	-169.65994	city	zip_majority
st mary s|ak	St. Mary's	AK	02158	62.062775	-163.244257	city	zip_majority
st michael|ak	St. Michael	AK	02180	63.458525	-162.134371	city	zip_majority
st paul|ak	St. Paul	AK	02016	57.179076	-170.322824	city	zip_majority
stebbins|ak	Stebbins	AK	02180	63.473358	-162.259966	city	zip_majority
steele creek|ak	Steele Creek	AK	02090	64.925613	-147.435058	CDP	zip_majority
sterling|ak	Sterling	AK	02122	60.540148	-150.80526	CDP	zip_majority
stevens village|ak	Stevens Village	AK	02290	66.02432	-149.077801	CDP	zip_majority
stony river|ak	Stony River	AK	02050	61.792749	-156.590554	CDP	census_first_listed
sunrise|ak	Sunrise	AK	02122	60.870068	-149.467798	CDP	census_first_listed
susitna north|ak	Susitna North	AK	02170	62.147592	-149.748537	CDP	census_first_listed
susitna|ak	Susitna	AK	02170	61.54028	-150.587941	CDP	census_first_listed
sutton alpine|ak	Sutton-Alpine	AK	02170	61.741436	-148.874181	CDP	census_first_listed
takotna|ak	Takotna	AK	02290	62.986854	-156.043156	CDP	zip_majority
talkeetna|ak	Talkeetna	AK	02170	62.309515	-149.923928	CDP	census_first_listed
tanacross|ak	Tanacross	AK	02240	63.328691	-143.486599	CDP	zip_majority
tanaina|ak	Tanaina	AK	02170	61.657162	-149.428191	CDP	zip_majority
tanana|ak	Tanana	AK	02290	65.184004	-152.055102	city	zip_majority
tatitlek|ak	Tatitlek	AK	02063	60.894394	-146.668388	CDP	zip_majority
tazlina|ak	Tazlina	AK	02066	62.050272	-145.443031	CDP	census_first_listed
teller|ak	Teller	AK	02180	65.252363	-166.352137	city	zip_majority
tenakee springs|ak	Tenakee Springs	AK	02105	57.790054	-135.135446	city	zip_majority
