zip5	primary_city	state_usps	county_fips	lat	lng	county_count	all_county_fips
00601	Adjuntas zona urbana	PR	72001	18.180555	-66.749961	2	72001|72141
00602	Luyando comunidad	PR	72003	18.361945	-67.175597	2	72003|72011
00603	Aguadilla zona urbana	PR	72005	18.457399	-67.124867	2	72005|72099
00606	Maricao zona urbana	PR	72093	18.158327	-66.932928	3	72093|72153|72121
00610	La Playa comunidad	PR	72011	18.295304	-67.12518	4	72011|72099|72083|72003
00611		PR	72141	18.276316	-66.807165	1	72141
00612	Arecibo zona urbana	PR	72013	18.416727	-66.70009	3	72013|72065|72017
00616	Bajadero comunidad	PR	72013	18.420408	-66.671986	1	72013
00617	Barceloneta zona urbana	PR	72017	18.446889	-66.561154	2	72017|72054
00622	BoquerÃ³n comunidad	PR	72023	17.988103	-67.160357	1	72023
00623	Cabo Rojo zona urbana	PR	72023	18.084371	-67.158765	1	72023
00624	Santo Domingo comunidad	PR	72111	18.051808	-66.721711	2	72111|72113
00627	Alianza comunidad	PR	72027	18.412423	-66.863708	2	72027|72115
00631		PR	72001	18.184294	-66.830795	2	72001|72081
00636		PR	72125	18.1636	-67.080097	1	72125
00637	Sabana Grande zona urbana	PR	72121	18.080103	-66.947975	3	72121|72125|72079
00638	FrontÃ³n comunidad	PR	72039	18.280188	-66.513111	3	72039|72107|72091
00641	Utuado zona urbana	PR	72141	18.268074	-66.701785	2	72141|72001
00646	Dorado zona urbana	PR	72051	18.432897	-66.286499	2	72051|72143
00647	GuÃ¡nica zona urbana	PR	72055	17.963613	-66.947127	2	72055|72079
00650	Florida zona urbana	PR	72054	18.349209	-66.578112	6	72054|72141|72091|72039|72013|72017
00652		PR	72013	18.448446	-66.594111	1	72013
00653	El Tumbao comunidad	PR	72055	17.988642	-66.90169	2	72055|72121
00656	Indios comunidad	PR	72059	18.040467	-66.78968	2	72059|72153
00659	Rafael CapÃ³ comunidad	PR	72065	18.407304	-66.808995	1	72065
00660	Hormigueros zona urbana	PR	72067	18.134695	-67.116199	1	72067
00662	Isabela zona urbana	PR	72071	18.468301	-67.015749	1	72071
00664	Jayuya zona urbana	PR	72073	18.21033	-66.591616	2	72073|72141
00667	Lajas zona urbana	PR	72079	18.003422	-67.03581	2	72079|72125
00669	Lares zona urbana	PR	72081	18.276925	-66.869587	4	72081|72141|72083|72131
00670	Las MarÃ­as zona urbana	PR	72083	18.233585	-66.987585	4	72083|72011|72097|72093
00674	ManatÃ­ zona urbana	PR	72091	18.424145	-66.487895	2	72091|72145
00676	Ferrer comunidad	PR	72099	18.381597	-67.080884	3	72099|72003|72005
00677	RincÃ³n zona urbana	PR	72117	18.332568	-67.227022	3	72117|72011|72003
00678	Quebradillas zona urbana	PR	72115	18.430503	-66.930479	3	72115|72071|72131
00680	MayagÃ¼ez zona urbana	PR	72097	18.183493	-67.133054	3	72097|72125|72011
00682	MayagÃ¼ez zona urbana	PR	72097	18.224864	-67.153891	2	72097|72067
00683	San GermÃ¡n zona urbana	PR	72125	18.1078	-67.037263	1	72125
00685	San SebastiÃ¡n zona urbana	PR	72131	18.336887	-66.972929	3	72131|72071|72099
00687	Morovis zona urbana	PR	72101	18.318017	-66.420392	1	72101
00688	Sabana Hoyos comunidad	PR	72013	18.382305	-66.626393	1	72013
00690	San Antonio comunidad	PR	72005	18.493543	-67.096915	1	72005
00692	Vega Alta zona urbana	PR	72143	18.410652	-66.336202	2	72143|72145
00693	Vega Baja zona urbana	PR	72145	18.425961	-66.398098	3	72145|72143|72091
00694		PR	72145	18.483127	-66.39236	1	72145
00698	Yauco zona urbana	PR	72153	18.072916	-66.85119	2	72153|72059
00703	Aguas Buenas zona urbana	PR	72007	18.248401	-66.130662	3	72007|72041|72045
00704	CoquÃ­ comunidad	PR	72123	17.973168	-66.229011	2	72123|72057
00705	Aibonito zona urbana	PR	72009	18.12896	-66.266691	2	72009|72043
00707	Emajagua comunidad	PR	72095	18.014055	-65.920751	1	72095
00714	Arroyo zona urbana	PR	72015	17.995867	-66.055529	1	72015
00715	Capitanejo comunidad	PR	72113	17.990485	-66.566143	2	72113|72075
00716	Ponce zona urbana	PR	72113	17.985014	-66.606721	1	72113
00717	Ponce zona urbana	PR	72113	18.002639	-66.611087	1	72113
00718	RÃ­o Blanco comunidad	PR	72103	18.23201	-65.756036	2	72103|72037
00719	Naranjito zona urbana	PR	72105	18.28992	-66.25344	4	72105|72047|72045|72135
00720	Orocovis zona urbana	PR	72107	18.216608	-66.423682	2	72107|72043
00723	Patillas zona urbana	PR	72109	18.019337	-66.001862	3	72109|72095|72015
00725	Caguas zona urbana	PR	72025	18.220689	-66.03958	6	72025|72061|72129|72127|72007|72139
00727	Caguas zona urbana	PR	72025	18.211921	-66.073355	1	72025
00728	Ponce zona urbana	PR	72113	17.991071	-66.662968	1	72113
00729	CanÃ³vanas zona urbana	PR	72029	18.334918	-65.887078	2	72029|72087
00730	Ponce zona urbana	PR	72113	18.030882	-66.611928	1	72113
00731	Tibes comunidad	PR	72113	18.109947	-66.635622	2	72113|72001
00735	Aguas Claras comunidad	PR	72037	18.252179	-65.665631	2	72037|72103
00736	Cayey zona urbana	PR	72035	18.103624	-66.151667	2	72035|72041
00738	Fajardo zona urbana	PR	72053	18.304458	-65.698711	2	72053|72037
00739	Cidra zona urbana	PR	72041	18.175543	-66.162102	1	72041
00740	Fajardo zona urbana	PR	72053	18.333961	-65.631674	1	72053
00741	Punta Santiago comunidad	PR	72069	18.163855	-65.754042	1	72069
00745	RÃ­o Grande zona urbana	PR	72119	18.352176	-65.810929	2	72119|72029
00751	Coco comunidad	PR	72123	18.003779	-66.262905	2	72123|72035
00754	San Lorenzo zona urbana	PR	72129	18.144582	-65.972253	1	72129
00757	Jauca comunidad	PR	72133	17.991428	-66.402337	1	72133
00765	Esperanza comunidad	PR	72147	18.124207	-65.42307	1	72147
00766	Villalba zona urbana	PR	72149	18.130718	-66.472244	2	72149|72107
00767	Yabucoa zona urbana	PR	72151	18.069489	-65.896029	2	72151|72069
