,,Spend,Spend,Spend,Spend,Spend,Gross CPA,Gross CPA,Gross CPA,Gross CPA,Gross CPA,NET CPA,NET CPA,NET CPA,NET CPA,NET CPA
CATEGORY,SUB_CATEGORY,OCT25_CD_SPEND,NOV25_CD_SPEND,DEC25_CD_SPEND,JAN26_CD_SPEND,FEB26_CD_SPEND,OCT25_GrossCPA,NOV25_GrossCPA,DEC25_GrossCPA,JAN26_GrossCPA,FEB26_GrossCPA,OCT25_NET_CPA,NOV25_NET_CPA,DEC25_NET_CPA,JAN26_NET_CPA,FEB26_NET_CPA
Architecture and Engineering Occupations,Aerospace Engineers,122,458,933,727,121,24.39,14.77,58.31,33.06,12.11,9.32,2.65,24.83,8.95,3.16
Architecture and Engineering Occupations,"Architects, Except Naval",24,69,465,543,747,7.97,34.7,9.29,12.07,15.25,6.49,26.74,5.11,7.55,7.32
Architecture and Engineering Occupations,Bioengineers and Biomedical Engineers,268,1392,1895,282,137,14.91,10.55,9.67,17.63,19.59,6.94,3.05,1.87,10.13,6.58
Architecture and Engineering Occupations,Chemical Engineers,729,1249,2028,1236,76,34.72,21.53,12.14,16.06,38.05,11.76,3.7,2.46,3.05,17.44
Architecture and Engineering Occupations,Civil Engineers,545,631,722,539,598,16.53,7.34,6.5,5.67,4.86,7.29,4.99,4.06,3.33,3.94
Architecture and Engineering Occupations,Computer Hardware Engineers,1326,814,293,115,189,441.91,90.46,48.91,38.2,27.07,177.96,71.38,29.24,20.71,9.04
Architecture and Engineering Occupations,Drafters,240,1504,4066,246,260,9.98,15.66,15.34,3.85,13.66,5.61,2.84,1.83,3,7.32
Architecture and Engineering Occupations,Electrical and Electronics Engineers,3335,2378,4541,2977,1946,6.58,9.08,8.54,6.01,20.27,2.55,3.52,3.18,2.35,7.04
Architecture and Engineering Occupations,"Engineering Technologists and Technicians, Except Drafters",7928,6281,5920,5567,5868,21.48,16.06,18.33,23.1,20.45,10.78,7.65,9.58,12.17,10.06
Architecture and Engineering Occupations,Environmental Engineers,5,230,51,216,6,5.31,22.99,17.1,16.61,,4.25,5.61,10.47,2.05,
Architecture and Engineering Occupations,"Industrial Engineers, Including Health and Safety",15469,20668,23491,11226,14781,13.71,13.89,14.56,13.93,18.81,3.35,3.34,4.05,7.15,8.3
Architecture and Engineering Occupations,Marine Engineers and Naval Architects,3,2,1,1,1,,,,,,,,,,
Architecture and Engineering Occupations,Materials Engineers,417,581,842,1676,629,24.55,52.85,24.06,31.03,33.08,10.98,15.33,13.74,11.75,10.15
Architecture and Engineering Occupations,Mechanical Engineers,4884,3922,16121,12916,17438,22.4,21.67,36.31,71.36,76.48,9.32,6.57,11.94,20.01,22.29
Architecture and Engineering Occupations,"Mining and Geological Engineers, Including Mining Safety Engineers",0,18,46,264,7,,,,16.52,,,,,3.24,
Architecture and Engineering Occupations,Miscellaneous Engineers,641,1073,2805,1102,598,21.38,8.87,10.51,47.92,33.25,10.25,3.77,4.61,22.59,17.94
Architecture and Engineering Occupations,Nuclear Engineers,30,258,79,279,1,29.77,51.55,,21.44,,25.97,12.74,,10.77,
Architecture and Engineering Occupations,Petroleum Engineers,0,0,0,308,0,,,,20.56,,,,,7.04,
Architecture and Engineering Occupations,Surveying and Mapping Technicians,1,33,0,169,176,,33.39,,3.94,17.63,,17.48,,3.26,10.06
Architecture and Engineering Occupations,"Surveyors, Cartographers, and Photogrammetrists",0,1,98,0,159,,,97.59,,3.12,,,90.59,,2.83
"Arts, Design, Entertainment, Sports, and Media Occupations","Actors, Producers, and Directors",75,459,213,4,197,37.69,152.84,3.18,1.18,32.81,27.06,36.25,3.05,1.03,11.46
"Arts, Design, Entertainment, Sports, and Media Occupations",Artists and Related Workers,8,19,1140,114,3,,0.52,3.6,3.36,1.7,,0.5,3.43,3.37,0.97
"Arts, Design, Entertainment, Sports, and Media Occupations","Athletes, Coaches, Umpires, and Related Workers",3,18,123,11,1,,17.59,61.56,,,,9.05,32.11,,
"Arts, Design, Entertainment, Sports, and Media Occupations","Broadcast, Sound, and Lighting Technicians",295,325,3203,133,55,5,4.12,33.36,19.06,55.25,2.65,2.53,15.21,4.23,51.76
"Arts, Design, Entertainment, Sports, and Media Occupations",Dancers and Choreographers,0,0,0,1,0,,,,,,,,,,
"Arts, Design, Entertainment, Sports, and Media Occupations",Designers,3678,1543,2761,3462,3908,9.41,5.43,6.82,9.78,3.28,4.53,2.48,4.33,4.49,1.86
"Arts, Design, Entertainment, Sports, and Media Occupations","Miscellaneous Entertainers and Performers, Sports and Related Workers",1191,148,35,0,5,49.61,1.18,0.77,0.25,5.27,40.54,1.18,0.77,0.25,4.05
